"","key","ENPV","sd"
"1","LLL | LLL",602.488794677546,2.14070396641658
"2","LLL | LLH",342.424720039299,164.195554645311
"3","LLL | LHL",166.473087715373,68.6066619882569
"4","LLL | LHH",154.328256864854,69.289065150277
"5","LLL | HLL",732.806041097562,125.122012628443
"6","LLL | HLH",297.9536450833,181.305845222329
"7","LLL | HHL",180.507384708118,99.1502984006285
"8","LLL | HHH",174.054445305916,96.0880331862944
"9","LLH | LLL",484.298694315415,1.71597903948328
"10","LLH | LLH",454.616008061283,85.9160662346039
"11","LLH | LHL",251.949879340018,124.628180460195
"12","LLH | LHH",222.685373604147,109.341313240562
"13","LLH | HLL",611.262414579189,139.09802360866
"14","LLH | HLH",468.738842090447,156.147888986609
"15","LLH | HHL",299.675805668329,159.654881793131
"16","LLH | HHH",242.938875620771,114.989214944565
"17","LHL | LLL",493.162872781521,1.98678741104484
"18","LHL | LLH",452.124333879726,103.41495771418
"19","LHL | LHL",269.446987567816,112.330993098377
"20","LHL | LHH",250.17407734377,115.534106881875
"21","LHL | HLL",612.540684467174,94.4430108369738
"22","LHL | HLH",493.737516025166,149.881076776077
"23","LHL | HHL",295.16381521156,122.937891700861
"24","LHL | HHH",244.285198341211,115.348797269816
"25","LHH | LLL",379.014599574898,1.65787261682062
"26","LHH | LLH",398.862638597342,44.5494833289079
"27","LHH | LHL",256.8373240728,99.7658732843302
"28","LHH | LHH",242.238132246824,106.243158983528
"29","LHH | HLL",485.693307174943,93.6442193628642
"30","LHH | HLH",468.586743117146,138.407333216887
"31","LHH | HHL",274.130961316568,131.3913757209
"32","LHH | HHH",267.797476488169,121.066585284519
"33","HLL | LLL",602.111006732382,2.36468275537687
"34","HLL | LLH",275.543911052648,147.152557667969
"35","HLL | LHL",163.462416556115,81.0201071303763
"36","HLL | LHH",146.239003888724,59.954457330869
"37","HLL | HLL",746.711679441364,124.693864022995
"38","HLL | HLH",296.31868895879,153.342622865646
"39","HLL | HHL",179.358239948137,90.5698902892817
"40","HLL | HHH",178.304243332982,104.151737110206
"41","HLH | LLL",488.884946975523,1.89325399268701
"42","HLH | LLH",456.662134744531,94.0261275650027
"43","HLH | LHL",244.15033991147,115.049994414138
"44","HLH | LHH",227.238454032857,106.475935308709
"45","HLH | HLL",604.534647549711,112.364726955362
"46","HLH | HLH",505.013529793094,140.89379202044
"47","HLH | HHL",293.18210329095,134.981616291115
"48","HLH | HHH",243.888184943635,139.323625115239
"49","HHL | LLL",498.545522023443,1.95783695772654
"50","HHL | LLH",452.234336610514,89.9444368150604
"51","HHL | LHL",282.412439577992,127.413693942706
"52","HHL | LHH",246.284346275469,100.095389883783
"53","HHL | HLL",617.138455250504,130.089744895869
"54","HHL | HLH",482.028387261739,152.943842097923
"55","HHL | HHL",306.799998230788,137.05238628988
"56","HHL | HHH",259.585885964729,131.013515540676
"57","HHH | LLL",387.1269101836,1.60410516964836
"58","HHH | LLH",404.014908427725,48.5177399457929
"59","HHH | LHL",250.856296961448,105.386727468778
"60","HHH | LHH",235.686055320883,102.772970882817
"61","HHH | HLL",486.642971920094,102.501032487213
"62","HHH | HLH",455.318043209814,102.361493329509
"63","HHH | HHL",306.650285988105,131.595177162949
"64","HHH | HHH",259.228759847173,119.250666230229
